$369,900, 3, 2, 1369, 5488 NE 64th Ave, Portland, OR 97218 
$349,900, 2, 3, 908, 426 NE Ivy St #5, Portland, OR 97212 
$510,000, 4, 3, 1768, 7019 SE Sherrett St, Portland, OR 97206 
$429,900, 3, 3, 2092, 10372 NW Forestview Way, Portland, OR 97229 
$349,900, 2, 3, 908, 430 NE Ivy St #3, Portland, OR 97212 
$450,000, 3, 2, 1824, 2909 SW Upper Dr, Portland, OR 97201 
$389,000, 2, 1, 884, 12919 NE Clackamas St, Portland, OR 97230 
$325,000, 2, 1, 1582, 6637 NW Saint Helens Rd, Portland, OR 97210 
$499,000, 8, 3, 3556, 933 SE 34th Ave, Portland, OR 97214 
$329,000, 2, 1, 712, 610 NE 79th Ave, Portland, OR 97213 
$309,000, 3, 2, 1124, 9736 N Fairhaven Ave, Portland, OR 97203 
$799,000, 5, 2, 3498, 2940 SE Woodward St, Portland, OR 97202 
$639,000, 4, 2, 1650, 1300 NE 117th Ave, Portland, OR 97220 
$1,099,000, 5, 4, 3029, 1409 SE 37th Ave, Portland, OR 97214 
$335,000, 3, 3, 1503, 7997 SE Sporri Ln, Milwaukie, OR 97267 
$315,000, 3, 3, 1610, 2755 SE 174th Ave, Portland, OR 97236 
$378,500, 3, 3, 1482, 5426 SE 137th Ave, Portland, OR 97229 
$450,000, 3, 2, 2850, 5254 NE Mallory Ave, Portland, OR 97211 
$375,000, 1, 1, 870, 51 NE Fremont St, Portland, OR 97212 
$319,900, 2, 1, 572, 5815 SE Ramona St, Portland, OR 97206 
$424,000, 3, 3, 1492, 7679 NW Buckthorn Way, Portland, OR 97229 
$659,000, 4, 3, 2490, 3425 SW Alice St, Portland, OR 97219 
$553,000, 4, 3, 2112, 6177 SE Mcnary Rd, Milwaukie, OR 97267 
$84,900, 3, 2, 1120, 8851 SE Shadow Brook Ct #85, Clackamas, OR 97015 
$255,300, 3, 2, 1152, 2812 NE Bryant St, Portland, OR 97211 
$649,950, 3, 3, 1790, 5242 NE 22nd Ave, Portland, OR 97211 
$499,000, 2, 2, 1068, 325 NW Uptown Ter APT 3B, Portland, OR 97210 
$799,950, 2, 3, 2265, 3601 S River Pkwy #307, Portland, OR 97239 
$325,000, 3, 1, 1656, 6837 SE Holgate Blvd, Portland, OR 97206 
$669,950, 4, 4, 2438, 4468 N Michigan Ave #A/B, Portland, OR 97217 
$649,950, 3, 3, 1790, 5244 NE 22nd Ave, Portland, OR 97211 
$485,000, 2, 1, 884, 4235 SE Cooper St, Portland, OR 97206 
$749,900, 3, 3, 2152, 3022 SW Periander St, Portland, OR 97201 
$689,950, 4, 4, 2886, 4476 N Michigan Ave #A/B, Portland, OR 97217 
$525,000, 5, 4, 3912, 17326 SE Oatfield Rd, Milwaukie, OR 97267 
$659,000, 4, 3, 2490, 3425 S Alice St, Portland, OR 97219 
$1,200,500, 5, 3, 3538, 3001 SW Dosch Rd, Portland, OR 97239 
$335,000, 2, 1, 1344, 7024 N Mississippi Ave, Portland, OR 97217 
$449,500, 2, 2, 1903, 5222 SE 17th Ave, Portland, OR 97202 
$399,900, 1, 2, 1132, 2454 NW Westover Rd UNIT A202, Portland, OR 97210 
